Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
29-05-2017,-,POS/MAULI PETROLIUM/PUNE/290517/10:46,200, ,24250.27,315
29-05-2017,-,POS/D MART/PUNE/290517/20:21,192.05, ,24058.22,315
30-05-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/300517,500, ,23558.22,315
31-05-2017,-,NEFT/CITIN17784773060/ADP INDIA PRIVATE LIMITED/ME, ,39170,62728.22,2
31-05-2017,-,POS/WAY DOWN SOUTH/PUNE/310517/22:18,230, ,62498.22,315
01-06-2017,-,NEFT/1221505880/VINEET SINGH/Rent   splitwise, ,14212,76710.22,2
01-06-2017,-,NEFT/MB/AXMB171524236196/kokil owner,20000, ,56710.22,1566
01-06-2017,-,ECOM PUR/ptm paytm/NOIDA/010617/20:57,1000, ,55710.22,315
03-06-2017,-,REFUND/MAULI PETROLIUM\S NO 274 BANER/290517, ,1.5,55711.72,100
05-06-2017,-,POS/SHREE SAGAR CHEMI/PUNE/040617/15:17,165, ,55546.72,315
05-06-2017,-,ECOM PUR/ONE97 COMMUNI/NOIDA/050617/19:00,1030, ,54516.72,315
05-06-2017,-,POS/SUBWAY/PUNE/050617/21:42,240, ,54276.72,315
06-06-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/060617,800, ,53476.72,315
07-06-2017,-,INB/497916070/ATOM STOCK BROKERS/912010041956734,20000, ,33476.72,315
07-06-2017,-,AXISDIRECT/D685871/07-06-2017/10:06,2500, ,30976.72,315
07-06-2017,-,AXISDIRECT/D707147/07-06-2017/04:06,10932.67, ,20044.05,315
10-06-2017,-,ECOM PUR/MSRTC/MUMBAI/100617/22:43,462.33, ,19581.72,315
12-06-2017,-,POS/WAY DOWN SOUTH/PUNE/120617/21:08,253, ,19328.72,315
13-06-2017,-,AXISDIRECT/D862236/13-06-2017/06:06, ,21265.27,40593.99,4
13-06-2017,-,POS/INNER STUDIO/PUNE/130617/22:04,378, ,40215.99,315
16-06-2017,-,NEFT/SBIN917167492724/SBI DIVIDEND PAYMENT  ELECTR, ,260,40475.99,2
16-06-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/160617,500, ,39975.99,315
17-06-2017,-,POS/CHAITANYA PARANTH/PUNE/170617/13:33,120, ,39855.99,315
19-06-2017,-,POS/SHREE GANESH SALE/PUNE/180617/12:39,2545, ,37310.99,315
20-06-2017,-,POS/CHAITANYA PARANTH/PUNE/200617/20:39,170, ,37140.99,315
21-06-2017,-,POS/CHAITANYA PARANTH/PUNE/210617/20:33,380, ,36760.99,315
22-06-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/220617,500, ,36260.99,315
23-06-2017,-,POS/WAY DOWN SOUTH/PUNE/230617/22:00,83, ,36177.99,315
24-06-2017,-,912010041956734:Int.Pd:01-04-2017 to 24-06-2017, ,415,36592.99,315
24-06-2017,-,ECOM PUR/paywww mcdel/GURGAON/240617/16:26,331, ,36261.99,315
26-06-2017,-,POS/HOTEL SAI SAGAR/PUNE/250617/21:13,130, ,36131.99,315
26-06-2017,-,ECOM PUR/www.airtel.in/Mumbai/260617/12:43,399, ,35732.99,315
27-06-2017,-,POS/SMART LIFE CHEMIS/PUNE/270617/00:10,130, ,35602.99,315
27-06-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/270617,300, ,35302.99,315
29-06-2017,-,PCLR/DEV01C931237/29-06-2017 15:00:19/STP,14900, ,20402.99,315
29-06-2017,-,ATM-CASH/ZUNJAR WADI/PUNE/290617,900, ,19502.99,315
30-06-2017,-,ECOM PUR/PayTm Mobile/Noida/300617/07:46,1050, ,18452.99,315
30-06-2017,-,NEFT/CITIN17797890234/ADP INDIA PRIVATE LIMITED/ME, ,39158,57610.99,550
30-06-2017,-,ECOM PUR/PayTm Mobile/Noida/300617/20:22,1000, ,56610.99,315
01-07-2017,-,NEFT/MB/AXMB171821517788/kokil owner,20000, ,36610.99,678
03-07-2017,-,IMPS/P2A/718314059666/917351796951/MB RENT AND S, ,4250,40860.99,315
03-07-2017,-,IMPS/P2A/718314190058/917895336444/, ,7670,48530.99,315
03-07-2017,-,POS/MC DONALDS/PUNE/020717/19:28,164, ,48366.99,315
03-07-2017,-,POS/M/S HOTEL GREEN P/PUNE/030717/22:17,566, ,47800.99,315
05-07-2017,-,POS/THE K FACTORY/PUNE/050717/20:05,533, ,47267.99,315
06-07-2017,-,ECOM PUR/paywww mcdel/GURGAON/060717/14:46,352, ,46915.99,315
07-07-2017,-,AXISDIRECT/E462948/07-07-2017/10:07,2500, ,44415.99,315
07-07-2017,-,ATM-CASH/INDIRA INST OF MGM/PUNE/070717,500, ,43915.99,315
07-07-2017,-,AXISDIRECT/E488791/07-07-2017/05:07,11380.47, ,32535.52,315
07-07-2017,-,POS/HANG OUT./THANE/070717/22:01,350, ,32185.52,315
10-07-2017,-,ECOM PUR/Maharashtra S/Mumbai/090717/01:57,570.21, ,31615.31,315
10-07-2017,-,POS/THE BOSTON/MUMBAI/090717/22:05,220, ,31395.31,315
10-07-2017,-,ECOM PUR/MSRTC/MUMBAI/100717/20:26,457.14, ,30938.17,315
12-07-2017,-,POS/D MART/PUNE/120717/19:58,253, ,30685.17,315
13-07-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/130717/19:55,322, ,30363.17,315
14-07-2017,-,NEFT/1251572719/VINEET SINGH/No Message, ,4000,34363.17,248
17-07-2017,-,POS/CHAITANYA PARANTH/PUNE/160717/14:30,145, ,34218.17,315
17-07-2017,-,POS/SHREE SAGAR CHEMI/PUNE/160717/15:04,165, ,34053.17,315
17-07-2017,-,POS/MOBILE XPRESS./PUNE/160717/17:16,3300, ,30753.17,315
17-07-2017,-,POS/FARMERS AND/PUNE/160717/20:26,265, ,30488.17,315
17-07-2017,-,POS/RUCHIRA WINES/PUNE/160717/20:29,840, ,29648.17,315
17-07-2017,-,POS/CAFE COFFEE DAY/LAVASA/160717/23:08,258, ,29390.17,315
17-07-2017,-,POS/THE WATERFRONT SH/PUNE/170717/12:08,489, ,28901.17,315
18-07-2017,-,ECOM PUR/www.airtel.in/Mumbai/180717/08:07,100, ,28801.17,315
18-07-2017,-,POS/SWEET PALACE/PUNE/180717/19:01,310, ,28491.17,315
19-07-2017,-,POS/RAASTA CAFE/PUNE/190717/21:08,640, ,27851.17,315
20-07-2017,-,Consolidated DP Charges,28.75, ,27822.42,315
21-07-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/210717,500, ,27322.42,315
21-07-2017,-,ECOM PUR/BIGTREE ENTER/MUMBAI/210717/16:43,593.28, ,26729.14,315
25-07-2017,-,POS/CHAITANYA PARANTH/PUNE/250717/20:46,270, ,26459.14,315
26-07-2017,-,POS/M/S HOTEL GREEN P/PUNE/260717/14:59,4720, ,21739.14,315
28-07-2017,-,POS/ASHWINI TOURS/PUNE/280717/13:49,200, ,21539.14,315
28-07-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/280717/15:43,352, ,21187.14,315
31-07-2017,-,NEFT/MB/AXMB172128637602/internet,1000, ,20187.14,1168
31-07-2017,-,NEFT/CITIN17808557371/ADP INDIA PRIVATE LIMITED/ME, ,47630,67817.14,2
31-07-2017,-,INB/509289257/ATOM STOCK BROKERS/Zerodha912010041,15000, ,52817.14,315
31-07-2017,-,ECS/IDFC BANK LIMITED/1448250/AXIS BANK  UTB, ,412.5,53229.64,2
31-07-2017,-,ECS/ITC LIMITED/532286/AXIS BANK  UTB, ,475,53704.64,2
31-07-2017,-,IMPS/P2A/721222473626/917895336444/rent, ,15367,69071.64,315
01-08-2017,-,NEFT/MB/AXMB172139052482/kokil owner,20000, ,49071.64,1304
01-08-2017,-,ATM-CASH/kbl pune-baner/PUNE/010817,500, ,48571.64,315
02-08-2017,-,AXISDIRECT/F267721/02-08-2017/05:08,2658.98, ,45912.66,315
02-08-2017,-,POS/POOJA MEDICAL AND/PUNE/020817/20:24,165, ,45747.66,315
04-08-2017,-,ECOM PUR/PayTm Mobile/Noida/040817/19:18,1140, ,44607.66,315
07-08-2017,-,AXISDIRECT/F379021/07-08-2017/09:08,2500, ,42107.66,315
07-08-2017,-,AXISDIRECT/F418316/07-08-2017/05:08,16713.45, ,25394.21,315
10-08-2017,-,NEFT/MB/AXMB172222103436/abhijeet,440, ,24954.21,1378
11-08-2017,-,INB/512301173/ATOM STOCK BROKERS/912010041956734,12000, ,12954.21,315
12-08-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/120817/19:03,352, ,12602.21,315
16-08-2017,-,POS/PRIME MEDICINE/PUNE/150817/19:39,610, ,11992.21,315
18-08-2017,-,POS/D MART/PUNE/180817/18:41,504, ,11488.21,315
19-08-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/190817/16:39,434, ,11054.21,315
19-08-2017,-,ECOM PUR/BigTree Enter/Mumbai/190817/23:42,321.36, ,10732.85,315
21-08-2017,-,POS/MAD OVER DONUTS/PUNE/200817/16:08,169, ,10563.85,315
21-08-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/200817/18:19,348, ,10215.85,315
21-08-2017,-,ECS/TGBL DIV.210817/TA00092137130/AXIS BANK  UTB, ,94,10309.85,2
21-08-2017,-,POS/SUBWAY/PUNE/210817/21:39,236, ,10073.85,315
24-08-2017,-,POS/APACHE THE FLUID/PUNE/240817/20:56,2933, ,7140.85,315
29-08-2017,-,IMPS/P2A/724120377774/919764623939/Food and foot, ,820,7960.85,315
30-08-2017,-,NEFT/MB/AXMB172425457530/internet,1000, ,6960.85,149
31-08-2017,-,NEFT/CITIN17821592678/ADP INDIA PRIVATE LIMITED/ME, ,47630,54590.85,248
02-09-2017,-,IMPS/P2A/724503509543/917351796951/MB RENT AND S, ,4546,59136.85,315
02-09-2017,-,IMPS/P2A/724521008510/917895336444/sonu+vineet_, ,11559,70695.85,315
04-09-2017,-,NEFT/MB/AXMB172476540222/kokil owner,20000, ,50695.85,441
04-09-2017,-,INB/517233064/ATOM STOCK BROKERS/912010041956734,18000, ,32695.85,315
07-09-2017,-,POS/DFS INDIA PRIVATE/MUMBAI/070917/00:11,2594.32, ,30101.53,315
07-09-2017,-,ECOM PUR/www.airtel.in/Mumbai/070917/00:52,399, ,29702.53,315
07-09-2017,-,ECOM PUR/One97Comm_Pay/SBIPG/070917/09:17,1380, ,28322.53,315
07-09-2017,-,AXISDIRECT/D379536/07-09-2017/10:09,2500, ,25822.53,315
07-09-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/070917/17:21,352, ,25470.53,315
07-09-2017,-,AXISDIRECT/D407610/07-09-2017/05:09,17046.72, ,8423.81,315
08-09-2017,-,NEFT/N251170364049854/ZERODHA NSE CLIENT AC/070920, ,15000,23423.81,2
08-09-2017,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/080917/16:33,899, ,22524.81,315
08-09-2017,-,TEMP CR REV/ECOM PUR/MAKEMYTRIP I/GURGAON/270117/,5431, ,17093.81,100
11-09-2017,-,ECOM PUR/MSRTC/MUMBAI/100917/10:04,457.14, ,16636.67,315
11-09-2017,-,POS/SUBWAY/PUNE/110917/22:55,145, ,16491.67,315
13-09-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/130917/21:19,334, ,16157.67,315
14-09-2017,-,NEFT/N257170367815026/ZERODHA NSE CLIENT AC/130920, ,3000,19157.67,2
14-09-2017,-,PCLR/DEV01C387912/14-09-2017 17:05:13/STP,14128, ,5029.67,315
15-09-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726, ,15000,20029.67,327
15-09-2017,-,POS/THEOS /PUNE/150917/22:13,586, ,19443.67,315
16-09-2017,-,POS/RADHE RADHE ENTER/PUNE/160917/21:21,380, ,19063.67,315
18-09-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/170917/13:10,352, ,18711.67,315
19-09-2017,-,ICON REF/725640014202/PAYU/DT.13092017, ,334,19045.67,100
20-09-2017,-,AXISDIRECT/D875393/20-09-2017/07:09, ,22874.73,41920.4,4
20-09-2017,-,POS/KALYAN BHEL/PUNE/200917/20:47,610, ,41310.4,315
21-09-2017,-,ATM-CASH/BALEWADI LINK RD/HAVELI/210917,800, ,40510.4,315
22-09-2017,-,POS/SUBWAY/PUNE/220917/13:52,236, ,40274.4,315
22-09-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,15000, ,25274.4,315
23-09-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/230917/12:52,352, ,24922.4,315
28-09-2017,-,NEFT/CITIN17832749336/ADP INDIA PRIVATE LIMITED/ME, ,48390,73312.4,2
28-09-2017,-,INB/522912403/ATOM STOCK BROKERS/912010041956734,33000, ,40312.4,315
29-09-2017,-,ECS/Sun Pharmaceutical I/453403/AXIS BANK  UTB, ,35,40347.4,2
29-09-2017,-,ECOM PUR/PAYTM/Noida/290917/21:37,1570, ,38777.4,315
30-09-2017,-,ATM-CASH/kbl pune-baner/PUNE/300917,1000, ,37777.4,315
30-09-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/300917/15:11,559, ,37218.4,315
30-09-2017,-,912010041956734:Int.Pd:25-06-2017 to 30-09-2017, ,282,37500.4,315
02-10-2017,-,IMPS/P2A/727500693061/917895336444/vineet_rent, ,7225,44725.4,315
02-10-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/021017/14:52,467, ,44258.4,315
02-10-2017,-,ECOM PUR/MSRTC/MUMBAI/021017/16:39,457.14, ,43801.26,315
03-10-2017,-,NEFT/MB/AXMB172763537808/internet,1000, ,42801.26,9
03-10-2017,-,NEFT/MB/AXMB172763678711/kokil owner,23000, ,19801.26,723
03-10-2017,-,ECS/OIL AND NATURAL GAS/0000000000000/AXIS BANK  U, ,80,19881.26,2
03-10-2017,-,IMPS/P2A/727620955991/917351796951/, ,5200,25081.26,315
04-10-2017,-,ECS/CCHPP5970P AY2017 18/CE17048260825/AXIS BANK, ,1650,26731.26,2
04-10-2017,-,POS/APACHE THE FLUID/PUNE/041017/23:10,1646, ,25085.26,315
06-10-2017,-,IMPS/P2A/727909503127/917351796951/MB SONU PAYME, ,5200,30285.26,315
06-10-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726, ,14720,45005.26,327
09-10-2017,-,POS/SAI ENTERPRISES/Pune/081017/14:11,330, ,44675.26,315
09-10-2017,-,AXISDIRECT/E509511/09-10-2017/09:10,2500, ,42175.26,315
09-10-2017,-,AXISDIRECT/E537267/09-10-2017/10:10,16795.1, ,25380.16,315
10-10-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/101017,600, ,24780.16,315
12-10-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,14720, ,10060.16,315
12-10-2017,-,Consolidated DP Charges,29.5, ,10030.66,315
12-10-2017,-,POS/DMART Baner/PUNE/121017/21:17,51.4, ,9979.26,315
16-10-2017,-,ECOM PUR/PTM*SWIGGY/NOIDA/161017/20:42,200, ,9779.26,315
18-10-2017,-,ECOM PUR/Flipkart APIN/Chennai/181017/15:09,338, ,9441.26,315
18-10-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/181017/16:55,467, ,8974.26,315
19-10-2017,-,ECS/BEL FIN DIV 2016 17/1302750001515/AXIS BANK  U, ,10.5,8984.76,2
20-10-2017,-,ATM-CASH/KARAN PLAZA  WARJE/PUNE/201017,500, ,8484.76,315
23-10-2017,-,POS/Smart Life Chemis/Pune/231017/08:34,170, ,8314.76,315
23-10-2017,-,POS/WAY DOWN SOUTH/PUNE/231017/21:25,360, ,7954.76,315
24-10-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/241017,900, ,7054.76,315
25-10-2017,-,POS/RADHE RADHE ENTER/PUNE/251017/21:50,405, ,6649.76,315
26-10-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726, ,14868,21517.76,327
26-10-2017,-,POS/CENTRAL/PUNE/261017/19:07,3459, ,18058.76,315
26-10-2017,-,POS/EFFINGUT BREWERKZ/PUNE/261017/22:28,366, ,17692.76,315
27-10-2017,-,POS/THEOS /PUNE/271017/19:06,439, ,17253.76,315
30-10-2017,-,NEFT/SIN00101Q2641309/BAJAJ ALLIANZ LIFE I//ACC/00, ,129665,146918.76,2
30-10-2017,-,POS/SUBWAY/PUNE/301017/19:55,177, ,146741.76,315
30-10-2017,-,MOB/TPFT/DEEPAK PANDE/043010100001767,129665, ,17076.76,315
31-10-2017,-,NEFT/MB/AXMB173040953214/internet,1000, ,16076.76,43
31-10-2017,-,NEFT/N304170398348067/ZERODHA NSE CLIENT AC/301020, ,41890.7,57967.46,248
31-10-2017,-,NEFT/CITIN17845631932/ADP INDIA PRIVATE LIMITED/ME, ,48390,106357.46,2
31-10-2017,-,AXISDIRECT/F438784/31-10-2017/08:10, ,47290.41,153647.87,4
31-10-2017,-,POS/THE BLUE PLATE/PUNE/311017/22:59,189, ,153458.87,315
01-11-2017,-,ECOM PUR/ptm paytm/NOIDA/011117/19:36,1080, ,152378.87,315
02-11-2017,-,NEFT/MB/AXMB173061743056/KOKIL OWNER,23000, ,129378.87,69
02-11-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/021117,1000, ,128378.87,315
02-11-2017,-,IMPS/P2A/730619511677/917895336444/rent, ,6403,134781.87,315
03-11-2017,-,INB/IFT/PPF I-CONNECT COLLEC,100000, ,34781.87,315
03-11-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/031117/21:09,352, ,34429.87,315
03-11-2017,-,IMPS/P2A/730721235133/917351796951/MB SONU ELECT, ,8850,43279.87,315
04-11-2017,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/041117/20:16,10, ,43269.87,315
06-11-2017,-,ECOM PUR/MSRTC/MUMBAI/051117/03:00,457.14, ,42812.73,315
06-11-2017,-,ECOM PUR/ITservicesCC/Mumbai/051117/13:10,446.88, ,42365.85,315
06-11-2017,-,ECOM PUR/MSRTC/MUMBAI/051117/13:20,457.14, ,41908.71,315
07-11-2017,-,AXISDIRECT/F703789/07-11-2017/09:11,2500, ,39408.71,315
07-11-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/071117,800, ,38608.71,315
07-11-2017,-,AXISDIRECT/F748298/07-11-2017/05:11,18027.13, ,20581.58,315
08-11-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,14868, ,5713.58,315
09-11-2017,-,ECOM PUR/Amazon Seller/Bangalore/091117/09:20,599, ,5114.58,315
09-11-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/091117/19:33,334, ,4780.58,315
10-11-2017,-,Consolidated DP Charges,29.5, ,4751.08,315
10-11-2017,-,ECOM PUR/BigTree Enter/Mumbai/101117/13:27,395.52, ,4355.56,315
13-11-2017,-,ECOM PUR/Flipkart APIN/Chennai/131117/00:00,873, ,3482.56,315
15-11-2017,-,REFUND/MAHARASHTRA STATE ROAD\E 510 C/DT.061117, ,457.14,3939.7,100
16-11-2017,-,POS/MC DONALDS/PUNE/161117/13:42,548, ,3391.7,315
16-11-2017,-,ECOM PUR/aip bharti ai/MUMBAI/161117/19:17,179, ,3212.7,315
20-11-2017,-,POS/WAY DOWN SOUTH/PUNE/191117/18:44,95, ,3117.7,315
20-11-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/201117,1100, ,2017.7,315
25-11-2017,-,ATM-CASH-AXIS/LWCW10420/8689/251117/WARJE,500, ,1517.7,315
27-11-2017,-,NEFT/MB/AXMB173318185913/internet,1000, ,517.7,363
29-11-2017,-,BIRLA DIV_1017914298, ,4355.34,4873.04,4
29-11-2017,-,POS/PRASHANT CORNER/MUMBAI/291117/19:10,258, ,4615.04,315
30-11-2017,-,NEFT/CITIN17858849041/ADP INDIA PRIVATE LIMITED/ME, ,48390,53005.04,248
30-11-2017,-,ECOM PUR/ptm paytm/NOIDA/301117/13:47,1180, ,51825.04,315
01-12-2017,-,NEFT/MB/AXMB173359250296/KOKIL OWNER,21900, ,29925.04,782
02-12-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/021217/20:20,467, ,29458.04,315
02-12-2017,-,IMPS/P2A/733622470971/917351796951/, ,4786,34244.04,315
04-12-2017,-,ECOM PUR/MSRTC/MUMBAI/031217/11:06,457.14, ,33786.9,315
04-12-2017,-,IMPS/P2A/733716357285/917895336444/, ,7628,41414.9,315
04-12-2017,-,ATM-CASH/WAGLE EST BRANCH/THANE/031217,900, ,40514.9,315
04-12-2017,-,ECOM PUR/BigTree Enter/Mumbai/041217/20:00,162.68, ,40352.22,315
07-12-2017,-,AXISDIRECT/H302601/07-12-2017/09:12,2500, ,37852.22,315
07-12-2017,-,AXISDIRECT/H346069/07-12-2017/05:12,16266.04, ,21586.18,315
07-12-2017,-,POS/D MART/PUNE/071217/21:29,812, ,20774.18,315
09-12-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/091217/14:05,197, ,20577.18,315
09-12-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/091217/14:06,197, ,20380.18,315
11-12-2017,-,ATM-CASH/ZUNJAR WADI/PUNE/101217,1000, ,19380.18,315
11-12-2017,-,POS/PH SAPPHIRE./PUNE/111217/21:50,911, ,18469.18,315
12-12-2017,-,NEFT/MB/AXMB173462833511/abhijeet,583, ,17886.18,1604
12-12-2017,-,INB/540106669/ATOM STOCK BROKERS/912010041956734,9000, ,8886.18,315
12-12-2017,-,ICON REF/734340020982/PAYU REFUND/DT.09122017, ,197,9083.18,100
12-12-2017,-,ICON REF/734340021055/PAYU REFUND/DT.09122017, ,197,9280.18,100
13-12-2017,-,POS/MC DONALDS/PUNE/131217/13:23,287, ,8993.18,315
14-12-2017,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/141217/20:28,498, ,8495.18,315
18-12-2017,-,POS/D MART/PUNE/181217/19:56,467, ,8028.18,315
19-12-2017,-,POS/RIBBONS & BALLOON/PUNE/191217/22:59,120, ,7908.18,315
20-12-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726, ,14000,21908.18,327
22-12-2017,-,POS/ABSOLUTE BARBEQUE/MARATHAHALLI/221217/14:58,1310, ,20598.18,315
26-12-2017,-,NEFT/N360170437521258/ZERODHA NSE CLIENT AC/221220, ,8973,29571.18,2
26-12-2017,-,POS/K KURTIS/THANE/261217/12:57,2200, ,27371.18,315
26-12-2017,-,POS/SNOPPY/MUMBAI/261217/13:18,1600, ,25771.18,315
27-12-2017,-,ECOM PUR/MCDELIVERY PA/Gurugram/271217/21:14,462, ,25309.18,315
27-12-2017,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,14000, ,11309.18,315
28-12-2017,-,NEFT/MB/AXMB173626375796/internet,1000, ,10309.18,150
28-12-2017,-,ECOM PUR/Max Life Insu/GURGAON/281217/21:00,6845.66, ,3463.52,315
29-12-2017,-,NEFT/CITIN17871584708/ADP INDIA PRIVATE LIMITED/ME, ,48378,51841.52,248
30-12-2017,-,ECOM PUR/ptm paytm/NOIDA/301217/19:59,880, ,50961.52,315
30-12-2017,-,IMPS/P2A/736420918173/917895336444/Sonu, ,6000,56961.52,315
31-12-2017,-,912010041956734:Int.Pd:01-10-2017 to 31-12-2017, ,197,57158.52,315
01-01-2018,-,ECOM PUR/MSRTC/MUMBAI/010118/01:20,456, ,56702.52,315
01-01-2018,-,NEFT/MB/AXMB180017412493/KOKIL OWNER,23000, ,33702.52,2877
01-01-2018,-,POS/SHREE SAGAR CHEMI/PUNE/010118/19:00,165, ,33537.52,315
02-01-2018,-,IMPS/P2A/800220252903/917895336444/rent, ,7522,41059.52,315
04-01-2018,-,POS/SUBWAY/PUNE/040118/13:24,219, ,40840.52,315
04-01-2018,-,POS/SUBWAY/PUNE/040118/13:27,95, ,40745.52,315
04-01-2018,-,POS/SUBWAY/PUNE/040118/13:28,171, ,40574.52,315
04-01-2018,-,POS/D MART/PUNE/040118/21:57,306, ,40268.52,315
08-01-2018,-,POS/M/S INTERIOR POIN/BHOPAL/070118/20:04,500, ,39768.52,315
08-01-2018,-,AXISDIRECT/B323169/08-01-2018/09:01,2500, ,37268.52,315
08-01-2018,-,ECOM PUR/MSRTC/MUMBAI/080118/14:02,456, ,36812.52,315
08-01-2018,-,AXISDIRECT/B362799/08-01-2018/05:01,17806.72, ,19005.8,315
10-01-2018,-,ECOM PUR/BIGTREE ENTER/MUMBAI/100118/22:54,284.28, ,18721.52,315
11-01-2018,-,POS/SRUSHTI WINES/PUNE/110118/22:01,133, ,18588.52,315
16-01-2018,-,POS/BALWADKAR AUTO/PUNE/160118/21:19,100, ,18488.52,315
18-01-2018,-,POS/MC DONALDS/PUNE/180118/20:42,179, ,18309.52,315
20-01-2018,-,IMPS/P2A/802020173613/917895336444/, ,7000,25309.52,315
20-01-2018,-,POS/LS INTL PVT LTD_V/THANE/200118/21:19,2904, ,22405.52,315
20-01-2018,-,POS/USPA   FM  ETHIX/MUMBAI/200118/21:29,2899, ,19506.52,315
24-01-2018,-,NEFT/MB/AXMB180244130112/abhijeet,564, ,18942.52,2609
25-01-2018,-,POS/MC DONALDS/PUNE/250118/13:26,248, ,18694.52,315
29-01-2018,-,ECOM PUR/aip bharti ai/MUMBAI/280118/21:16,448, ,18246.52,315
29-01-2018,-,POS/SHREE SAGAR CHEMI/PUNE/290118/18:54,180, ,18066.52,315
29-01-2018,-,ECOM PUR/MCDELIVERY PA/Gurugram/290118/22:18,299, ,17767.52,315
30-01-2018,-,REFUND/BALWADKAR AUTO SERVICE\S NO 13/DT.160118, ,0.75,17768.27,100
30-01-2018,-,ECOM PUR/Amazon Pay/8033420300/300118/16:31,147.45, ,17620.82,315
31-01-2018,-,NEFT/CITIN18813194970/ADP INDIA PRIVATE LIMITED/SA, ,48390,66010.82,248
31-01-2018,-,MOB/TPFT/SUPRIYA SANJAY /913010043998700,1850, ,64160.82,315
31-01-2018,-,POS/CHAITANYA PARANTH/PUNE/310118/21:59,221, ,63939.82,315
01-02-2018,-,NEFT/MB/AXMB180325840343/KOKIL OWNER,24000, ,39939.82,160
01-02-2018,-,MOB/TPFT/SUPRIYA SANJAY /913010043998700,1000, ,38939.82,315
01-02-2018,-,POS/DMART Baner/PUNE/010218/20:06,115, ,38824.82,315
03-02-2018,-,IMPS/P2A/803417127884/917895336444/rent feb, ,7333,46157.82,315
03-02-2018,-,ATM-CASH-AXIS/CWAW10406/2979/030218/WARJE,2000, ,44157.82,315
03-02-2018,-,ECOM PUR/ONE97 COMMUNI/NOIDA/040218/00:53,560, ,43597.82,315
05-02-2018,-,IMPS/P2A/803518769114/917895336444/sonu rent feb, ,4667,48264.82,315
05-02-2018,-,NEFT/MB/AXMB180366997496/AASHISH,1660, ,46604.82,18
05-02-2018,-,POS/DMART Baner/PUNE/050218/22:01,674.4, ,45930.42,315
06-02-2018,-,ECOM PUR/Flipkart APIN/Chennai/060218/10:03,2700, ,43230.42,315
07-02-2018,-,AXISDIRECT/C726266/07-02-2018/09:02,2500, ,40730.42,315
07-02-2018,-,NEFT/MB/AXMB180387956214/internet,1000, ,39730.42,255
07-02-2018,-,AXISDIRECT/C767268/07-02-2018/05:02,16166.7, ,23563.72,315
07-02-2018,-,POS/TATA STARBUCKS/PUNE/070218/22:08,499, ,23064.72,315
08-02-2018,-,UPI/P2A/803915021216/AXIe11b8c4a4486455ca21481cd, ,4900,27964.72,315
09-02-2018,-,FLIPKART Refund 1802090102916741024 Se Dt 07.02.18, ,2700,30664.72,100
09-02-2018,-,POS/SANTOSH CATERERS/PUNE/090218/22:42,270, ,30394.72,315
10-02-2018,-,POS/PANTALOONS FASHIO/PUNE/100218/21:34,1504, ,28890.72,315
12-02-2018,-,UPI/P2A/804323863119/,1750, ,27140.72,315
12-02-2018,-,UPI/P2A/804323863787/GOOGLEPAY, ,29,27169.72,315
